Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Temparature degree cellcius,Year,,Random,
Wheat,Jamalpur,46495,24560,23.01666667,,1977,,0.914679816,35
Wheat,Bogra,0,0,24,,1977,,0.913620893,33
Wheat,Noakhali,63455,47438,37.25,,1977,,0.91314143,33
Wheat,Kustia,4270,4286,23.01,,1977,,0.913112599,33
Wheat,Mymensingh,5455,4910,46.5,,1977,,0.913046507,33
Wheat,Patuakhali,60960,64195,16.25,,1977,,0.912324398,32
Wheat,Jessore,190,107,24,,1977,,0.912313735,33
Wheat,Khulna,34940,23379,8,,1977,,0.911914729,34
Wheat,Dhaka,6000,2131,29.5,,1977,,0.911910875,33
Wheat,Faridpur,22300,14082,8.5,,1977,,0.911862408,32
Wheat,Dinajpur,31085,27802,25,,1977,,0.910470461,34
Wheat,Rajshahi,48000,34932,16.5,,1977,,0.910155043,38
Wheat,Barisal,15960,14204,24.5,,1977,,0.909642026,37
Wheat,Kishoregonj,0,0,23.01,,1977,,0.909289447,35
Wheat,Rangpur,59600,32505,3,,1977,,0.908717825,34
Wheat,Sylhet,560,210,29.25,,1977,,0.90723579,36
Wheat,Tangail,10335,6864,23.01,,1977,,0.907160068,35
Wheat,Comilla,85,52,26.5,,1977,,0.906841681,35
Wheat,Chittagonj  H.T,65,36,26.5,,1977,,0.906816704,35
Wheat,Kishoregonj,6925,5359,4.46,,1978,,0.906651596,36
Wheat,Bogra,22610,19813,0.5,,1978,,0.90563332,37
Wheat,Patuakhali,0,0,25.75,,1978,,0.904464696,38
Wheat,Kustia,51900,38488,4.46,,1978,,0.903840336,34
Wheat,Pabna,42000,29059,4.46,,1978,,0.903497223,33
Wheat,Sylhet,5270,2084,0.5,,1978,,0.902541331,33
Wheat,Noakhali,1800,992,2,,1978,,0.902422171,33
Wheat,Faridpur,33475,12055,3.25,,1978,,0.901423711,33
Wheat,Comilla,66895,50578,4.461538462,,1978,,0.900822527,32
Wheat,Tangail,15635,11588,4.46,,1978,,0.899560515,32
Wheat,Jessore,25610,20111,4.46,,1978,,0.899378519,32
Wheat,Chittagonj  H.T,40,30,0,,1978,,0.899259368,32
Wheat,Barisal,105,54,0.75,,1978,,0.898006611,32
Wheat,Mymensingh,8355,5330,0,,1978,,0.897787347,31
Wheat,Dhaka,19220,10734,5,,1978,,0.896331397,31
Wheat,Dinajpur,17900,12270,4.46,,1978,,0.895878889,32
Wheat,Rajshahi,60925,27669,17.75,,1978,,0.894792138,32
Wheat,Khulna,2245,1917,0.75,,1978,,0.894081101,32
Wheat,Chittagonj,570,267,0,,1978,,0.893789568,31
Wheat,Rangpur,14000,6960,1.75,,1978,,0.89359138,31
Wheat,Jamalpur,0,0,4.46,,1978,,0.893570046,31
Wheat,Rangpur,25985,15712,14.75,,1979,,0.893070646,31
Wheat,Noakhali,560,210,19.25,,1979,,0.891803065,32
Wheat,Jamalpur,0,0,20.85,,1979,,0.889954737,31
Wheat,Dinajpur,31130,25097,20.85,,1979,,0.889768945,32
Wheat,Sylhet,6000,2131,11.5,,1979,,0.889527166,32
Wheat,Comilla,63455,47438,13.25,,1979,,0.887448692,34
Wheat,Pabna,48000,34932,20.85,,1979,,0.887047965,33
Wheat,Faridpur,46495,24560,27.25,,1979,,0.885722842,33
Wheat,Kishoregonj,5455,4910,20.85,,1979,,0.885091169,32
Wheat,Bogra,31085,27802,16.25,,1979,,0.884988555,33
Wheat,Kustia,60960,64195,20.85,,1979,,0.884394332,32
Wheat,Chittagonj,65,36,22.75,,1979,,0.884386951,33
Wheat,Mymensingh,10335,6864,7.75,,1979,,0.882033473,32
Wheat,Barisal,190,107,23.25,,1979,,0.881543738,34
Wheat,Dhaka,22300,14082,30.5,,1979,,0.880909178,34
Wheat,Chittagonj  H.T,85,52,22.75,,1979,,0.878792766,34
Wheat,Khulna,4270,4286,17.25,,1979,,0.876731445,32
Wheat,Tangail,15960,14204,20.85,,1979,,0.876534521,32
Wheat,Patuakhali,0,0,23.5,,1979,,0.876494643,32
Wheat,Rajshahi,59600,32505,29.5,,1979,,0.875018197,32
Wheat,Jessore,34940,23379,33.25,,1979,,0.875006989,32
