Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,,Year
Wheat,6,221290,158840,11.25,,1994
Wheat,7,102500,69060,11,,1994
Wheat,21,65180,51870,11.41,,1994
Wheat,8,148550,133520,10.75,,1994
Wheat,23,0,0,11.41,,1994
Wheat,9,8110,7360,5.25,,1994
Wheat,10,32910,23320,11.41,,1994
Wheat,11,117410,104130,11.41,,1994
Wheat,12,29340,19770,16.75,,1994
Wheat,13,4750,2790,2.75,,1994
Wheat,14,210980,144590,11.41,,1994
Wheat,15,5,3,6.5,,1994
Wheat,16,151210,122480,19,,1994
Wheat,24,150,130,5.75,,1994
Wheat,17,166620,136830,11.25,,1994
Wheat,18,19180,12980,17.5,,1994
Wheat,19,54890,42620,24.5,,1994
Wheat,22,0,0,45.63,28.63,1995
Wheat,20,14380,10150,54,28.52,1995
Wheat,1,48700,46860,26.25,28.23,1995
Wheat,2,260,130,83.75,28.28,1995
Wheat,4,115590,104110,44,28.33,1995
Wheat,5,84420,69240,38,29.73,1995
Wheat,6,230650,168750,23.5,27.2,1995
Wheat,7,124690,89640,28.5,28.63,1995
Wheat,21,68810,52450,45.63,29.18,1995
Wheat,8,161840,141540,39.5,27.75,1995
Wheat,23,0,0,45.63,28.92,1995
Wheat,9,12460,10970,70.5,28.17,1995
Wheat,10,35700,26460,45.63,28.4,1995
Wheat,11,124770,107540,45.63,29.25,1995
Wheat,12,35740,24490,32.5,29.6,1995
Wheat,13,1320,700,71,29.18,1995
Wheat,14,237860,162300,45.63,29.28,1995
Wheat,15,5,3,79,28.17,1995
Wheat,16,180590,154100,23.25,28.27,1995
Wheat,24,20,20,57,28.8,1995
Wheat,17,180560,145920,29.5,29.8,1995
Wheat,18,9870,7040,35.25,27.15,1995
Wheat,19,61200,46720,40.25,28.77,1995
Wheat,22,0,0,10.59,29.27,1996
Wheat,20,15570,11290,6,28.62,1996
Wheat,1,52830,50920,7.75,26.93,1996
Wheat,2,325,160,27.5,28.27,1996
Wheat,4,119670,105780,6.25,29.77,1996
Wheat,5,89640,71440,5.25,27.35,1996
Wheat,6,247920,197850,5,27.75,1996
Wheat,7,132660,101610,4.25,26.93,1996
Wheat,21,70890,55670,10.59,26.58,1996
Wheat,8,148040,134780,16,28.1,1996
Wheat,23,0,0,10.59,28.18,1996
Wheat,9,7590,6770,6.5,28.77,1996
Wheat,10,35840,27960,10.59,28.52,1996
Wheat,11,127250,117700,10.59,28.2,1996
Wheat,12,27690,17990,3.5,28.65,1996
Wheat,13,1410,850,4.5,27.97,1996
Wheat,14,244210,192250,10.59,29.47,1996
Wheat,15,0,0,20,27.77,1996
Wheat,16,178450,152540,5.25,28.03,1996
Wheat,24,15,10,25.75,29.3,1996
Wheat,17,182460,157800,3.25,27.27,1996
Wheat,18,4400,2820,19.5,28.9,1996
Wheat,19,6220,47910,13.75,28,1996
Wheat,22,0,0,15.88,28.27,1997
Wheat,20,16790,12200,13.5,29.12,1997
Wheat,1,56770,55120,12.5,29.22,1997
Wheat,2,350,220,21.25,28.77,1997
Wheat,4,133090,119970,12.5,29.45,1997
Wheat,5,97810,84850,8,27.93,1997
Wheat,6,310560,293870,17,28.25,1997
Wheat,7,141040,118820,27,28.75,1997
Wheat,21,80720,74060,15.88,29.67,1997
Wheat,8,165600,155150,20.5,27.58,1997
Wheat,23,12,5,15.88,28.73,1997
Wheat,9,8360,7540,13.25,29.18,1997
Wheat,10,40270,33130,15.88,27.55,1997
Wheat,11,143020,134260,15.88,26.72,1997
Wheat,12,33450,25100,11.25,28.1,1997
Wheat,13,1810,1240,10.75,29.45,1997
Wheat,14,253420,227880,15.88,27.03,1997
Wheat,15,2,1,13.5,27.77,1997
Wheat,16,200800,183640,27.25,27.22,1997
Wheat,24,16,10,12.25,26.45,1997
Wheat,17,228340,215210,15.5,28.07,1997
Wheat,18,5070,3620,17.25,27.72,1997
Wheat,19,71120,56920,16.75,27.2,1997
Wheat,22,0,0,37.64,27.15,1998
Wheat,20,27420,17750,118,26.78,1998
Wheat,1,57420,54030,8.25,27.08,1998
Wheat,2,370,230,58.25,26.9,1998
Wheat,4,149290,126000,49.75,27.78,1998
Wheat,5,105630,88080,34,26.15,1998
Wheat,6,345170,316180,4.75,27.28,1998
Wheat,7,153260,123860,41.5,27.45,1998
Wheat,21,93630,80170,37.64,26.42,1998
Wheat,8,164060,152240,47,27.17,1998
Wheat,23,10,5,37.64,27.05,1998
Wheat,9,9390,8410,70.5,27.12,1998
Wheat,10,46570,37320,37.64,27.2,1998
Wheat,11,148720,140500,37.64,27.98,1998
Wheat,12,35630,26270,12.75,27.12,1998
Wheat,13,3100,2140,62.25,27.7,1998
Wheat,14,260820,230150,37.64,26.48,1998
Wheat,15,60,40,50.75,27.17,1998
Wheat,16,217610,187070,13.5,27.35,1998
Wheat,24,20,20,29.75,28.12,1998
Wheat,17,273260,249900,3,26.03,1998
Wheat,18,5600,4030,16,27.23,1998
Wheat,19,82600,64040,20,27.48,1998
Wheat,22,0,0,7.6,26.53,1999
Wheat,20,27840,19220,0.75,25.58,1999
Wheat,1,57500,56490,7.6,26.55,1999
Wheat,2,200,90,27.25,27.77,1999
Wheat,4,121970,99860,10.75,26.13,1999
Wheat,5,102700,82530,3.25,26.53,1999
Wheat,6,364160,351820,1.25,25.68,1999
Wheat,7,151430,118930,1,25.8,1999
Wheat,21,84170,66960,7.6,26.43,1999
Wheat,8,148520,136810,7.6,26.75,1999
Wheat,23,30,10,7.6,26.95,1999
Wheat,9,5690,5360,3.5,27.25,1999
Wheat,10,41480,32030,7.6,26.58,1999
Wheat,11,110890,108810,7.6,27.12,1999
Wheat,12,31090,22610,0.25,27.23,1999
Wheat,13,4000,1820,22.25,27.57,1999
Wheat,14,240260,219350,7.6,25.95,1999
Wheat,15,20,10,3.25,27.92,1999
Wheat,16,241260,227570,0.25,27.22,1999
Wheat,24,10,10,29.5,25.92,1999
Wheat,17,240870,229260,2,26.97,1999
Wheat,18,4470,3640,0,26.75,1999
Wheat,19,78390,56790,8.75,26.97,1999
Wheat,22,0,0,14.16,26.45,2000
Wheat,20,27910,20720,11.25,27.53,2000
Wheat,1,43480,39000,13.75,27.72,2000
