Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Temparature Data,Year
Wheat,19,1.626132633,110540,0.155172414,,1983
Wheat,22,0.740380827,46490,0.171264368,,1984
Wheat,20,0.00026264,5,0.08045977,,1984
Wheat,1,1.32790545,100530,0.298850575,,1984
Wheat,2,2.138476691,134670,0.171264368,,1984
Wheat,4,1.129809586,79795,0.166666667,,1984
Wheat,5,0.692711753,46540,0.171264368,,1984
Wheat,6,0.082928431,3040,0.212643678,,1984
Wheat,7,0.230663165,15800,0.477011494,,1984
Wheat,21,2.101116218,154625,0.109195402,,1984
Wheat,8,2.041891005,119185,0.304597701,,1984
Wheat,23,1.951280368,136095,0.171264368,,1984
Wheat,9,0.000328299,10,0.171264368,,1984
Wheat,10,0.00013132,5,0.171264368,,1984
Wheat,11,1.895863427,140215,0.229885057,,1984
Wheat,12,3.092186474,196160,0.212643678,,1984
Wheat,13,2.417005909,154430,0.08045977,,1984
Wheat,14,0.005975049,210,0.017241379,,1984
Wheat,15,0.102495076,4430,0.097701149,,1984
Wheat,16,0.001707157,65,0.074712644,,1984
Wheat,24,0.314445174,21445,0.171264368,,1984
Wheat,17,0.378135259,26340,0.074712644,,1984
Wheat,18,0.078791858,5605,0.224137931,,1984
Wheat,19,1.219829284,77940,0.08045977,,1984
Wheat,22,0.865068943,61130,0.045977011,,1985
Wheat,20,1.290282337,75475,0.109195402,,1985
Wheat,1,1.712409718,108420,0.310344828,,1985
Wheat,2,0.7445174,49540,0.26183908,,1985
Wheat,4,0.00013132,5,0.26183908,,1985
Wheat,5,0.369665135,20890,0.26183908,,1985
Wheat,6,1.541103086,88565,0.068965517,,1985
Wheat,7,0.153381484,10410,0.155172414,,1985
Wheat,21,0.004596192,200,0.413793103,,1985
Wheat,8,0.053053185,2400,0.08045977,,1985
Wheat,23,0.987524622,58635,0.287356322,,1985
Wheat,9,4.182665791,22270,0.293103448,,1985
Wheat,10,2.100656599,140195,0.051724138,,1985
Wheat,11,1.898621142,108380,0.149425287,,1985
Wheat,12,1.410177282,94290,0.26183908,,1985
Wheat,13,0.001181878,40,0.574712644,,1985
Wheat,14,0.003020355,150,1.281609195,,1985
Wheat,15,0.000525279,35,0.26183908,,1985
Wheat,16,1.751280368,86500,0.26183908,,1985
Wheat,24,0.549047932,31880,0.26183908,,1985
Wheat,17,0.177019041,9270,0.281609195,,1985
Wheat,18,0.128102429,6705,0.063218391,,1985
Wheat,19,1.378266579,65720,0.022988506,,1985
Wheat,22,0.153315824,9630,0.925287356,,1986
Wheat,20,0.265725542,11495,0.66091954,,1986
Wheat,1,2.439789888,165345,0.33908046,,1986
Wheat,2,1.157715036,70795,1,,1986
Wheat,4,0.000328299,10,0.792643678,,1986
Wheat,5,1.427117531,73190,0.792643678,,1986
Wheat,6,2.299540381,141680,0.816091954,,1986
Wheat,7,1.647275115,96045,0.792643678,,1986
Wheat,21,0,0,0.792643678,,1986
Wheat,8,1.440774787,62945,0.885057471,,1986
Wheat,23,0.391792515,21370,0.597701149,,1986
Wheat,9,1.839986868,114780,0.212643678,,1986
Wheat,10,0.04990151,2120,0.764367816,,1986
Wheat,11,0.000590939,20,0.833333333,,1986
Wheat,12,0.002626395,80,1.701149425,,1986
Wheat,13,0.718122127,39720,0.792643678,,1986
Wheat,14,0.867104399,47125,0.792643678,,1986
Wheat,15,1.237097833,51555,1.132183908,,1986
Wheat,16,0.148653972,3950,1.614942529,,1986
Wheat,24,0.76690742,49310,0.224137931,,1986
Wheat,17,1.710045962,109760,0.264367816,,1986
Wheat,18,0.006237689,265,0.712643678,,1986
Wheat,19,0.405055811,19800,0.792643678,,1986
Wheat,22,0.386408404,19890,0.120689655,,1987
Wheat,20,0.000919238,35,0.329885057,,1987
Wheat,1,0.004596192,210,0.609195402,,1987
Wheat,2,2.416283651,122310,0.408045977,,1987
Wheat,4,0.045370978,2010,0.33908046,,1987
Wheat,5,0.797570584,39740,0.413793103,,1987
Wheat,6,0.001772817,80,0.511494253,,1987
Wheat,7,1.206959947,64080,0.252873563,,1987
Wheat,21,6.57E-05,5,0.329885057,,1987
Wheat,8,0.371437951,19350,0.329885057,,1987
Wheat,23,1.587393303,74490,0.25862069,,1987
Wheat,9,0.106762968,6835,0.344827586,,1987
Wheat,10,0.689954038,37340,0.329885057,,1987
Wheat,11,0.214839133,10525,0.494252874,,1987
Wheat,12,1.87242285,95525,0.264367816,,1987
Wheat,13,1.681746553,93210,0.074712644,,1987
Wheat,14,2.452724885,131130,0.149425287,,1987
Wheat,15,1.447012475,104505,0.091954023,,1987
Wheat,16,0.239198949,13840,0.252873563,,1987
Wheat,24,0.00013132,5,0.879310345,,1987
Wheat,17,1.604202232,71130,0.329885057,,1987
Wheat,18,0.769993434,44360,0.143678161,,1987
Wheat,19,1.48883782,97410,0.329885057,,1987
Wheat,22,0.113197636,7330,1.091954023,,1988
Wheat,20,1.513591596,87160,0.333333333,,1988
Wheat,1,0.367038739,20705,1.022988506,,1988
Wheat,2,0.004333552,215,1.068965517,,1988
Wheat,4,0.620879842,36850,0.766666667,,1988
Wheat,5,1.684438608,73295,0.766666667,,1988
Wheat,6,2.114970453,112590,0.436781609,,1988
Wheat,7,0.204070913,11195,1.327586207,,1988
Wheat,21,0,0,0.482758621,,1988
Wheat,8,1.965988181,110010,0.137931034,,1988
Wheat,23,2.273210768,133315,0.396551724,,1988
Wheat,9,0.364018385,21470,0.766666667,,1988
Wheat,10,0.167432699,8950,0.775862069,,1988
Wheat,11,1.569139856,82420,1.103448276,,1988
Wheat,12,0,0,0.316091954,,1988
Wheat,13,0,0,0.766666667,,1988
Wheat,14,0,0,0.766666667,,1988
Wheat,15,0.654497702,39175,0.701149425,,1988
Wheat,16,0.99435325,51550,1.149425287,,1988
Wheat,24,0.67787262,37030,1.275862069,,1988
Wheat,17,1.4445174,91245,0.729885057,,1988
Wheat,18,1.414313854,96195,0.766666667,,1988
Wheat,19,0.027183191,1250,0.683908046,,1988
Wheat,22,0.658043336,38560,0.114942529,,1989
Wheat,20,1.487590282,66250,0.068965517,,1989
Wheat,1,2.052527905,86850,0.103448276,,1989
Wheat,2,1.499146422,67530,0.162758621,,1989
Wheat,4,0.221011162,8670,0.08045977,,1989
Wheat,5,0.697964544,33650,0.162758621,,1989
Wheat,6,1.572816809,78540,0.114942529,,1989
Wheat,7,0.000525279,30,0.091954023,,1989
Wheat,21,0.342350624,16800,0.162758621,,1989
Wheat,8,0.22232436,8480,0.425287356,,1989
Wheat,23,1.593959291,57000,0.08045977,,1989
Wheat,9,0.389757058,18960,0.162758621,,1989
Wheat,10,1.946946815,68780,0.162758621,,1989
Wheat,11,0.050558109,1890,0.143678161,,1989
Wheat,12,2.459750492,134440,0.183908046,,1989
Wheat,13,0.720945502,31690,0.402298851,,1989
Wheat,14,0.119238345,6460,0.051724138,,1989
Wheat,15,0.003808273,120,0.017241379,,1989
Wheat,16,0,0,0.162758621,,1989
Wheat,24,0,0,0.293103448,,1989
Wheat,17,2.129481287,116940,0.17816092,,1989
