Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Year
Wheat,Bogra,49840,39175,30.5,1988
Wheat,Chittagonj,0,0,21,1988
Wheat,Comilla,161055,112590,19,1988
Wheat,Dhaka,75720,51550,50,1988
Wheat,Dinajpur,149710,110010,6,1988
Wheat,Faridpur,119490,82420,48,1988
Wheat,Jamalpur,47280,36850,33.35,1988
Wheat,Jessore,110000,91245,31.75,1988
Wheat,Khagrachari,0,0,33.35,1988
Wheat,Khulna,8620,7330,47.5,1988
Wheat,Kishoregonj,27720,21470,33.35,1988
Wheat,Kustia,107700,96195,33.35,1988
Wheat,Mymensingh,27950,20705,44.5,1988
Wheat,Noakhali,2070,1250,29.75,1988
Wheat,Pabna,128270,73295,33.35,1988
Wheat,Patuakhali,330,215,46.5,1988
Wheat,Rajshahi,115260,87160,14.5,1988
Wheat,Rangamati,0,0,13.75,1988
Wheat,Rangpur,173105,133315,17.25,1988
Wheat,Sylhet,15540,11195,57.75,1988
Wheat,Tangail,51620,37030,55.5,1988
Wheat,Bandarban,0,0,7.08,1989
Wheat,Barisal,16830,8670,3.5,1989
Wheat,Bogra,50110,38560,5,1989
Wheat,Chittagonj,40,30,4,1989
Wheat,Comilla,156300,86850,4.5,1989
Wheat,Dhaka,79510,48360,11,1989
Wheat,Dinajpur,187310,134440,8,1989
Wheat,Faridpur,121380,57000,3.5,1989
Wheat,Jamalpur,53150,33650,7.08,1989
Wheat,Jessore,113280,66250,3,1989
Wheat,Khagrachari,0,0,7.08,1989
Wheat,Khulna,9080,6460,2.25,1989
Wheat,Kishoregonj,26070,16800,7.08,1989
Wheat,Kustia,114160,67530,7.08,1989
Wheat,Mymensingh,29680,18960,7.08,1989
Wheat,Noakhali,3850,1890,6.25,1989
Wheat,Pabna,148260,68780,7.08,1989
Wheat,Patuakhali,290,120,0.75,1989
Wheat,Rajshahi,119770,78540,5,1989
Wheat,Rangamati,0,0,12.75,1989
Wheat,Rangpur,162160,116940,7.75,1989
Wheat,Sylhet,16930,8480,18.5,1989
Wheat,Tangail,54900,31690,17.5,1989
Wheat,Bandarban,0,0,30.26,1990
Wheat,Barisal,9850,4790,44.75,1990
Wheat,Bogra,51470,40670,7.75,1990
Wheat,Chittagonj,0,0,37.25,1990
Wheat,Comilla,136430,81130,29.75,1990
Wheat,Dhaka,79530,50230,36.25,1990
Wheat,Dinajpur,206970,156600,1.5,1990
Wheat,Faridpur,112820,67550,22,1990
Wheat,Jamalpur,57450,39270,30.26,1990
Wheat,Jessore,106010,74230,47.5,1990
Wheat,Khagrachari,0,0,30.26,1990
Wheat,Khulna,7760,5070,35.75,1990
Wheat,Kishoregonj,26510,17470,30.26,1990
Wheat,Kustia,111310,72380,30.26,1990
Wheat,Mymensingh,30600,20300,22.75,1990
Wheat,Noakhali,810,210,67.75,1990
Wheat,Pabna,175500,118640,30.26,1990
Wheat,Patuakhali,540,240,52.25,1990
Wheat,Rajshahi,125510,92290,12.75,1990
Wheat,Rangamati,10,0,41.75,1990
Wheat,Rangpur,172440,122490,14.5,1990
Wheat,Sylhet,21070,12140,22.5,1990
Wheat,Tangail,47460,28590,17.75,1990
Wheat,Bandarban,15,10,29.9,1991
Wheat,Barisal,8860,4660,23.5,1991
Wheat,Bogra,39930,33700,32.5,1991
Wheat,Chittagonj,15,10,32.75,1991
Wheat,Comilla,103040,76730,56.25,1991
Wheat,Dhaka,76450,61290,38.75,1991
Wheat,Dinajpur,184920,146390,18.75,1991
Wheat,Faridpur,110100,72980,47.5,1991
Wheat,Jamalpur,57910,42060,29.9,1991
Wheat,Jessore,103040,75490,27.5,1991
Wheat,Khagrachari,0,0,29.9,1991
Wheat,Khulna,8110,5740,28.75,1991
Wheat,Kishoregonj,31440,23940,29.9,1991
Wheat,Kustia,113200,80530,29.9,1991
Wheat,Mymensingh,25290,19390,23.5,1991
Wheat,Noakhali,1080,410,33,1991
Wheat,Pabna,184190,137770,29.9,1991
Wheat,Patuakhali,190,80,7.25,1991
Wheat,Rajshahi,142500,104670,24.5,1991
Wheat,Rangamati,40,10,29,1991
Wheat,Rangpur,163940,134690,17,1991
Wheat,Sylhet,18560,10840,36.75,1991
Wheat,Tangail,47170,33660,31,1991
Wheat,Bandarban,120,70,20.09,1992
Wheat,Barisal,11450,8380,27.5,1992
Wheat,Bogra,39590,35390,4.25,1992
Wheat,Chittagonj,30,10,39.25,1992
Wheat,Comilla,108410,85210,16.5,1992
Wheat,Dhaka,79740,57410,12.5,1992
Wheat,Dinajpur,230760,171450,5.5,1992
Wheat,Faridpur,112350,664380,16.25,1992
Wheat,Jamalpur,69420,51160,20.09,1992
Wheat,Jessore,122510,98250,26.75,1992
Wheat,Khagrachari,10,10,20.09,1992
Wheat,Khulna,4410,3640,54,1992
Wheat,Kishoregonj,33650,25000,20.09,1992
Wheat,Kustia,121100,117590,20.09,1992
Wheat,Mymensingh,33010,23600,11,1992
