Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Year
Wheat,10,26.51,17.47,30.26,1990
Wheat,11,111.31,72.38,30.26,1990
Wheat,12,30.6,20.3,22.75,1990
Wheat,13,0.81,0.21,67.75,1990
Wheat,14,175.5,118.64,30.26,1990
Wheat,15,0.54,0.24,52.25,1990
Wheat,16,125.51,92.29,12.75,1990
Wheat,24,0.01,0,41.75,1990
Wheat,17,172.44,122.49,14.5,1990
Wheat,18,21.07,12.14,22.5,1990
Wheat,19,47.46,28.59,17.75,1990
Wheat,22,0.015,0.01,29.9,1991
Wheat,20,8.86,4.66,23.5,1991
Wheat,1,39.93,33.7,32.5,1991
Wheat,2,0.015,0.01,32.75,1991
Wheat,4,103.04,76.73,56.25,1991
Wheat,5,76.45,61.29,38.75,1991
Wheat,6,184.92,146.39,18.75,1991
Wheat,7,110.1,72.98,47.5,1991
Wheat,21,57.91,42.06,29.9,1991
Wheat,8,103.04,75.49,27.5,1991
Wheat,23,0,0,29.9,1991
Wheat,9,8.11,5.74,28.75,1991
Wheat,10,31.44,23.94,29.9,1991
Wheat,11,113.2,80.53,29.9,1991
Wheat,12,25.29,19.39,23.5,1991
Wheat,13,1.08,0.41,33,1991
Wheat,14,184.19,137.77,29.9,1991
Wheat,15,0.19,0.08,7.25,1991
Wheat,16,142.5,104.67,24.5,1991
Wheat,24,0.04,0.01,29,1991
Wheat,17,163.94,134.69,17,1991
Wheat,18,18.56,10.84,36.75,1991
Wheat,19,47.17,33.66,31,1991
Wheat,22,0.12,0.07,20.09,1992
Wheat,20,11.45,8.38,27.5,1992
Wheat,1,39.59,35.39,4.25,1992
Wheat,2,0.03,0.01,39.25,1992
Wheat,4,108.41,85.21,16.5,1992
Wheat,5,79.74,57.41,12.5,1992
Wheat,6,230.76,171.45,5.5,1992
Wheat,7,112.35,664.38,16.25,1992
Wheat,21,69.42,51.16,20.09,1992
Wheat,8,122.51,98.25,26.75,1992
